text|pol
Eu gosto de ir lá fazer algumas comprinhas , e tem muitas coisas q a gente pode economizar como bordado , brinquedos ,relógios .  Então acho muito bom ou ótimo .|1.0
Tem tudo que você precisa e ainda pessoas maravilhosas .|1.0
Tem tudo que precisamos ! De comida a acessórios recomendo e sem falar no preço ótimo !|1.0
Muito bom .  Atendimento ótimo .|1.0
Sou fã .  Compro tudo lá .  Adoro .  Preço , opções tudo .|1.0
Deveria ser melhor ..  gente passa por mil coisas pra sai de lá com nossas compras ..  tem que mostrar a nota na saída uns 2 vezes ou mais , isso é chato|0.0
Pq eu já visitei|0.0
Precisando melhorar|0.0
Bom mercado com preços bons e mercadoria diferenciada|1.0
Mercado tradicional da cidade de Parintins , com variedades de frutas e verduras , tudo que um Mercado pode oferecer .|1.0
Gostei do Sams , mas está deixando a desejar , produtos falando , a marca própria não me agrada .  Por exemplo , a manteiga não é boa , esperava mais .|0.0
Aqui você encontra de tudo do artesanato ao xing ling .|1.0
Tudo o que você procura tem lá .  Enorme variação de produtos .|1.0
Muitos produtos que não são encontrados facilmente em outros lugares .  Gosto muito da parte de azeites e eletrônicos .|1.0
Muita coisa boa e com preço ótimo , tem coisas que você só acha lá mesmo .|1.0
Agora com esta nova instalação está mais bonito e no mínimo acolhedor .  |1.0
Bem completo .|1.0
Preço pouco alto dos lanches .|1.0
Razoável ! Um mix de produtos interessante mas tem que ter muita atenção com os preços .  Nem tudo vale a pena ! Também , não parcelam ! !|0.0
Top de linha , uma das melhores opções pra comprar qualquer coisa do dia dia hehe , e não me fale do almoço e da cerveja de lá , pessoal super gente boa !|1.0
Não gostei do local , se for para comprar alguma coisa importada , prefiro ir no São Luiz , daria 0 estrelas se podesse .|-1.0
Lanchonetes com produtos de preços alto .  Mas eu até entendo , uma vez q o aluguel dos boxes é de R$500 ,00|1.0
Ponto turístico .|1.0
Atendimento familiar🤩🤩🤩👍🏾|1.0
Foi reformado recentemente , tem um café da manhã regional delicioso .|1.0
Fui mal atendida , a moça me deixou conversando sozinha , queria ver os valores das TVs .|1.0
Lugar que você encontra de tudo .|1.0
Para mim sempre foi um ótimo lugar pra fazer compras .|1.0
Super mercado barbosa , sujo , prateleiras enferrujadas , péssimo atendimento , colaboradores mau educados , enfim nota zero .|-1.0
Não tem caixas o suficiente .  As cestas de compras imundas .|-1.0
Bons descontos , mas quando você vai pagar morre de raiva . Poucos caixas , muitas filas . O desconto não vale a perda de tempo .|0.0
Frequento bastante esse lugar , sempre tem umas promoções boas , às vezes peca um pouco pelo número reduzido de atendentes .  Fora isso o lugar é bem servido de mercadorias , TVs , Celulares , e o que normalmente vende em supermercados .|1.0
Alguns produtos com ótimos preços mas o que deixa a desejar são as plantas à venda desidratadas a tal ponto de morrerem por falta de água .|1.0
"Espaço muito bom . 
Porém se não tiver o cartão G Barbosa você paga mais caro em alguns produtos comparado a outros supermercados ."|1.0
Loja ampla ! Preço compatível com o mercado .|0.0
Atendimento de caixa é quase parando ..  se prepara pra passar o dia lá|0.0
Muita variedade de produtos , pena que fui enganado por um expositor que me vendeu produtos com um falso desconto que depois percebi ter pago o dobro do preço .  Portanto pesquisem e não comprem sem comparar , infelizmente ! ! !|0.0
