polaridade,palavra
-1,:'(
1,adoro
0,agro
0,ainda
-1,abandonado
1,aberto
0,abre
0,abri
0,absolutamente
0,acabamos
0,acabei
0,acabou
0,acha
0,acha-se
0,achamos
0,achei
0,acho
0,achou
0,acionei
0,acompanhei
0,acredito
0,ademais
1,adoramos
1,adorei
1,adoro
0,agendado
0,agora
1,agrada
1,agradeço
1,agradável
0,ainda
0,ajudar
0,ali
0,aliás
0,além
1,amei
1,amo
1,ampla
1,amplo
0,andei
0,anunciaram
0,aonde
1,apaixonamos
1,apaixonante
0,apenas
-1,apertado
0,apesar
1,aprecio
1,apropriado
0,aproveita
1,aproveitei
1,aproveito
0,aqui
1,arrasa
0,assim
1,atenciosamente
1,atende
0,atendendo
1,atendeu
1,atraente
0,atual
0,atualmente
0,até
0,aumentaram
0,aumentou
0,aí
1,bem
1,bom
1,bons
1,bacana
1,bastante
1,bem
1,boa
1,bom
1,bons
-1,caro
1,completo
0,comprei
-1,caiu
-1,carece
-1,caro
0,cercado
1,certamente
0,chama
0,chega
0,cheguei
-1,cheio
-1,cilada
0,citarei
0,claramente
0,claro
0,coloca
0,colocam
0,colocar
0,comer
0,começar
1,compensa
0,compramos
0,comprar
0,comprei
1,concordo
1,confortável
0,congelados
0,conheci
0,conheça
0,conheço
1,consegui
0,conseguir
0,considero
0,conta
0,continue
0,contra
0,contudo
0,corre
0,costuma
0,covid19
0,creio
1,cumpre
1,curtir
1,custo
0,demais
1,dentro
0,deve
1,devidamente
0,daria
-1,decepcionada
-1,deixa
-1,deixam
-1,deixando
-1,deixei
-1,deixo
-1,deixou
1,deliciosos
0,demais
-1,demora
-1,demorado
1,dentro
0,dependendo
0,depois
0,desconheço
-1,desisti
-1,desorganizado
0,destaco
-1,destrata
0,deve
-1,deveria
-1,deveriam
-1,devia
-1,deviam
0,devido
-1,devolvi
1,diariamente
0,diferente
-1,dificil
-1,dificilmente
-1,difícil
1,dispõe
1,diversificado
1,diversos
0,diz
0,dizem
0,dizer
-1,dizia
0,dou
-1,duvidoso
0,dá
0,entregam
0,explicam
0,eita
1,encontra-se
0,encontrado
1,encontrei
0,enfim
-1,enfrentando
-1,enorme
0,entregam
0,entregue
0,entrei
0,entretanto
0,então
0,especialmente
0,especificamente
0,esperamos
0,espero
0,estive
0,estivemos
0,evito
0,exatamente
1,excelente
1,excelentes
1,excepcional
0,exigem
0,existe
0,existem
0,extremamente
0,falam
0,falando
0,falar
0,falei
-1,falta
-1,faltam
-1,faltando
-1,faltou
0,faz
0,fazem
0,fazendo
0,fazer
0,faça
0,faço
0,fecha
0,fechem
0,fechou
0,fez
0,fica
0,ficar
0,fico
0,ficou
1,fiel
0,fiquei
0,fiz
0,fora
0,fortalecer
1,frequento
1,funciona
0,funcionava
1,ganhei
0,garanto
0,geralmente
0,germânica
1,gostamos
-1,gostaria
0,gostava
1,gostei
1,gosto
0,grandes
0,hoje
-1,horrível
0,há
0,imagina
0,impossível
0,inaugurou
0,incluindo
0,inclusive
0,incrível
0,indicado
0,indico
-1,infelizmente
0,insubstituível
-1,insuportável
1,interessante
-1,inviável
0,jogando
0,já
0,leve
0,levei
1,linda
0,localizado
-1,longe
0,lá
0,maior
0,mais
1,maravilhoso
1,mega
1,melhor
0,mt
0,muito
0,maior
0,mais
-1,mal
0,mandaram
0,mantém
1,maravilhosa
0,marcado
-1,mau
-1,meia
0,melhorando
-1,melhorar
1,melhores
1,melhorou
1,merece
1,merecem
0,mesmo
0,mesmos
0,mtas
0,mtos
0,muda
0,mudou
0,muito
1,mágico
0,necessário
0,negociam
0,nem
0,normalmente
0,notei
0,novo
0,nunca
0,não
0,ou
1,obrigado
1,oferece
0,oh
0,olha
0,ontem
1,organizado
1,otima
1,otimo
1,otimos
1,perfeito
0,por
0,pra
0,paguei
1,parabenizar
0,paramos
0,parece
0,parei
0,particularmente
0,passando
0,passaram
0,passe
0,passei
0,pedi
0,pedido
0,pensa
0,pensando
0,pensei
0,penso
0,pensou
0,pequeno
-1,perdem
1,perfeita
-1,perigoso
1,perto
0,pesquisando
-1,pessimo
0,peça
0,peço
-1,pior
-1,piorou
-1,pode
-1,podem
0,poderei
-1,poderia
-1,poderiam
-1,podia
-1,podiam
0,pois
0,portanto
0,porém
0,possivelmente
0,posso
0,possuem
0,possui
0,possuí
0,pouco
0,pra
0,praticamente
0,precisa
0,precisam
0,precisando
0,precisava
0,precisávamos
0,prefiro
0,prepare-se
0,presta
0,primeiramente
0,principalmente
0,procurando
0,procure
0,provavelmente
0,provei
0,próxima
0,próximo
-1,péssimo
-1,péssima
0,põe
0,quando
0,quente
0,quando
0,quanto
0,quase
-1,quebrou
0,quer
0,queria
0,quero
0,quiseram
0,rede
0,redentor
1,razoável
0,realmente
0,recebi
0,recentemente
0,recepcionista
1,recomendado
1,recomendo
0,reconhecendo
1,regular
0,relativamente
0,relembrando
1,renovado
1,respeita
1,responsáveis
0,resumindo
1,retornarei
0,reúne
-1,roubaram
0,sem
0,ser
0,sob
0,sabe
1,saborear
1,saboroso
1,salva
1,satisfatório
0,saí
0,saímos
0,seguindo
0,sei
1,sempre
0,senti
0,serve
0,serviu
0,sim
0,simplesmente
1,simpática
0,simultaneamente
0,sinceramente
0,sinto
0,somente
0,sortimento
0,sugiro
-1,sujam
1,surreal
0,só
0,também
0,tb
0,tem
0,talvez
0,também
0,tanta
0,tanto
1,tem
0,temos
0,tenho
0,tentei
0,teve
0,tinha
0,tinham
0,tiram
0,tirando
0,tive
1,todas
0,todavia
0,tomando
0,tomara
0,tomei
0,totalmente
0,trabalhei
0,tradicionais
0,trata
0,trata-se
0,tratam
-1,triste
0,trocados
0,têm
0,ultimamente
0,utilizo
0,vem
1,voltarei
1,valeu
1,variadas
1,varias
0,veja
0,vejo
0,vem
0,vende
0,vendemos
0,vendendo
0,venha
1,ventilado
0,vi
0,vim
0,visitei
1,visitem
0,visualmente
0,vive
0,voltado
1,voltarei
0,voltei
0,vê
-1,abafado
-1,abaixo
-1,abandonado
0,abastecer
1,abençoe
1,aberto
-1,abordando
0,abriram
0,absolutamente
0,absoluta
0,absorvente
-1,absurdamente
-1,absurdo
-1,abusivos
0,abóbora
0,acaba
0,acalma
1,accessível
0,acebolado
0,aceitarem
1,aceita
1,aceitável
1,acessiveis
1,acessivel
1,acessivos
1,acessível
1,acha-se
0,acho
0,acima
1,acolhedor
1,acolhe
0,acompanhando
1,aconchante
1,aconchegante
0,acontecendo
0,acoplada
0,acostumamos
0,acredito
0,acumula
0,adaptar
1,adequado
0,adianta
0,adicione
0,adivinhar
0,administrado
1,adoro
1,adorável
0,adotar
0,adquirir
0,afastar
0,aferir
0,afins
0,afinal
0,agilizar
0,agir
-1,aglomera
-1,agoniada
-1,agonizando
0,agora
1,agrada
1,agradavel
1,agradecer
1,agradáveis
-1,agredido
0,agregar
0,agrícola
0,aguarde
0,aguentar
0,ainda
0,ajeitam
1,ajudaram
0,ajustado
0,alagoano
0,alcançar
0,alcoólicas
1,alegre
1,alegres
0,alelo
0,alertando
0,ali
0,aliado
0,alimentar
0,alimentícios
0,aliviar
0,aliás
0,almofada
0,altamente
0,alterados
-1,alto
0,alugar
0,além
-1,amador
0,amanhecer
0,amanhã
1,amei
0,amarela
-1,amargo
-1,amargurada
1,amigavel
1,amigável
1,amistoso
1,ama
0,ampliado
1,ampla
1,amável
0,anotam
0,antes
0,anteontem
0,anteriores
0,antigamente
0,antigos
-1,antipáticas
0,anunciam
0,aonde
0,apagou
1,apaixonado
0,aparecer
0,aparenta
0,aparentemente
0,apenas
0,aperfeiçoar
-1,apertado
0,apesar
0,apimentada
0,aplica
0,apontar
0,aposentado
0,apostar
1,aprazível
1,apreciar
0,aprendi
0,apresentado
1,apresentáveis
0,apresuntado
1,aprovei
1,aproveitar
1,aproximam
0,apurados
-1,apáticos
0,aqui
0,aquém
1,arejado
0,armada
0,armazenadas
1,arquitetônico
-1,arrependi
-1,arrogante
-1,arrojado
-1,arrombaram
1,arrumadinha
1,arrumado
1,artesanais
0,artificial
0,artísticas
1,asfaltada
-1,assaltada
0,assado
1,asseado
0,assim
0,associada
0,assumiu
-1,assustadores
-1,assustada
0,assíduo
-1,astronômicos
0,atacadistas
0,atacadões
0,atacados
1,atencioso
0,atendido
0,atendida
0,atento
0,atentos
0,atende
0,ativa
0,ativo
1,atraentes
0,atraía
-1,atrapalha
-1,atrasa
1,atrativo
1,atrativos
0,atravesso
0,através
-1,atrás
0,atual
1,atualizado
1,atualizados
0,atualizar
-1,atualizassem
0,atualizem
0,atualmente
0,atuam
0,até
0,aurora
0,auto
0,automobilísticos
0,automático
0,autorais
0,auxiliar
0,avalio
0,avental
-1,azedo
0,azul
0,aí
1,bacana
1,bacanas
-1,bagunçado
-1,bagunçados
1,baixo
1,baixos
1,balanceados
0,bancário
1,barato
0,baratear
1,baratos
0,barrar
-1,barulhento
0,basicamente
0,bastante
-1,bastasse
0,basta
0,batem
0,beber
0,beijou
0,beira
1,bela
1,bem
1,beneficia
0,bis
1,bom
1,bombando
1,bonito
0,bordado
0,botar
0,bovino
0,branco
0,brasileiras
1,brilhante
0,busca
1,cabe
0,caboclo
0,cadê
0,caiu
0,calados
1,calmo
1,camarada
0,caminhe
0,canpelos
-1,cansam
1,capacitadas
1,capaz
0,capital
0,careca
-1,carece
1,carinhosas
0,carioca
0,carioquinha
1,carismáticas
-1,caro
0,carregar
1,caseira
0,casuais
0,cativar
-1,caótico
0,cedo
0,centenário
0,central
1,centralizado
0,cerca
0,cereais
0,cerealista
0,certamente
1,certo
0,cessar
0,chamado
1,charmoso
-1,chateada
-1,chato
0,checkout
0,chefe
0,chegar
1,cheio
0,cheirando
0,chinesa
1,chique
0,choco
-1,chora
0,chove
0,ciclista
0,cientes
0,circular
0,citar
0,claro
1,classudo
1,climatizado
0,coalho
0,cobra
1,coberto
1,coerente
0,coletar
0,colher
0,coloca
0,colocá-lo
0,colonial
0,combinado
0,comedoria
0,comentar
0,comercial
0,comercializados
0,começou
0,compacto
0,comparado
1,compativeis
1,compatível
1,compensam
1,compensatórios
1,competentes
0,competir
1,competitivo
0,completamente
1,completo
1,completinho
-1,complicado
0,comporta
1,compreensível
1,comprometido
1,comprometidos
0,comprovar
0,comuns
1,comunicativo
0,concorrem
1,condicionado
1,condizente
1,condiz
0,confeccionar
0,conferir
0,confiar
0,confirmou
1,confiável
1,confortável
0,confunde-se
-1,confusa
0,congelada
-1,congestionada
0,conheço
0,conhecidos
1,conquistou
1,consagrando
0,consigo
0,conserta
0,conservador
0,conservar
0,considerar
0,considerável
1,consolidado
0,constante
0,constantemente
0,constam
-1,constrangido
0,construído
0,consultar
0,consumir
1,contemplando
1,contemporânea
1,contente
0,contém
0,continuam
0,contratar
0,contribuir
0,controlado
-1,conturbado
0,contínuas
1,conveniente
0,conversando
1,convidativos
1,convém
0,coração
1,cordial
1,corresponde
1,corretamente
1,corretas
0,corrigido
-1,corrupto
0,cortou
0,costuma
1,cremoso
0,crescente
1,crescendo
0,criar
1,crocante
0,crônico
1,cuidadoso
0,cumprir
0,curto
0,cá
0,d'água
0,daqui
0,daria
0,daí
0,debaixo
-1,debilitada
0,debito
-1,debochada
-1,decaiu
1,decente
-1,decepcionante
-1,decepcionado
0,decidir
1,dedicados
-1,deficitária
0,definida
0,defumada
0,degustar
0,deixando
1,delicioso
-1,demitida
-1,demora
0,dentro
-1,denunciem
0,deparei
0,dependendo
0,depois
0,derivados
-1,derramando
0,desafiar
-1,desagradável
-1,desanimador
-1,desarrumada
-1,desativado
0,descarregar
0,desçam
0,descobri
1,descolado
-1,desconfortáveis
-1,descongelando
0,desconheço
1,descontraido
1,descontraída
-1,desconveniente
-1,desejar
-1,desencontradas
0,desenvolve
1,desfrutar
0,desidratadas
0,designadas
0,desinfetando
-1,desistir
-1,desleais
-1,desleixado
-1,desliga
-1,desmotivados
-1,desnecessariamente
-1,desnivelado
-1,desorganizado
-1,desorientados
-1,despreocupados
-1,despreparado
-1,despreparados
-1,desproporcionais
-1,desqualificados
0,destacar
0,destiladas
-1,destoantes
0,determinada
-1,detesto
-1,devagar
-1,deveriam
0,devidas
0,devolver
0,diante
1,diariamente
0,diet
1,diferenciada
0,diferente
0,difere
-1,dificultando
0,digital
0,digitando
1,digna
0,dimensionada
0,diminuir
0,direto
-1,discrepante
0,discreto
-1,discutir
-1,dispendiosos
-1,dispersas
1,disponibiliza
1,disponível
1,dispõe
1,dispostos
0,distante
0,distintos
0,distrair
0,distribuídos
-1,divergentes
1,diversificado
1,divertir
0,dividido
0,divulgar
0,dizer
0,doce
0,doam
0,doido
0,domiciliar
0,domésticas
0,dourado
0,drasticamente
0,duplicados
0,dupla
0,durarem
-1,duras
-1,duvidosa
0,eclético
0,economicas
0,economico
1,economizar
1,econômicas
1,econômico
1,educados
0,efetuar
0,efetuarem
1,eficaz
1,eficiente
0,elaborada
1,elegante
0,eletrônico
-1,elevadíssimos
-1,elevados
-1,eliminem
-1,elitista
1,elogiar
0,elétrico
0,embaixo
0,embalado
-1,emburrados
0,embutidos
0,emergenciais
0,emitem
0,emocional
0,empenhar
0,empresarial
0,empurram
0,encaminhar
1,encantador
1,encantou
-1,encaradas
-1,encardido
-1,encarecem
0,encher
0,encobrindo
0,encontra-se
0,encontram-se
1,encontra
-1,enferrujadas
0,enfiam
0,enfim
-1,enganado
-1,enganosa
0,engarrafa
1,engrandece
0,enlatados
0,enormes
0,enquanto
0,enriquecendo
-1,enrolar
-1,ensopada
0,entende-se
0,entendo
0,entrava
0,entregues
0,então
0,envasado
0,enviar
1,equilibrados
0,equivalente
-1,equivocou
-1,errado
-1,esbranquiçados
0,escabeche
0,escolar
0,escolhe
0,escurecer
0,escuro
-1,esfarelava
1,esforçam
0,espalhados
1,espaçoso
1,especial
1,especializados
0,especialmente
0,específicos
0,esperava
1,espetacular
0,espetar
0,esportivos
0,esquecer
0,esquentar
-1,esquisito
1,essencial
0,estacionar
0,estendido
0,estornaram
0,estourou
-1,estragou
-1,estranho
-1,estranha
1,estrategicamente
0,estratégica
-1,estreito
-1,estreitos
-1,estressa
-1,estressada
-1,estressado
-1,estressados
-1,estressante
0,estritamente
-1,estupidamente
-1,esverdeada
0,etc
0,eterna
-1,evasiva
0,evite
0,evoluir
1,exaltam
0,exatamente
1,excelente
1,excepcional
0,exclusivo
0,executar
1,exemplar
0,exigente
0,exigidos
0,existente
0,existem
-1,exorbitantes
0,expandido
0,experimentar
0,explique
0,explorar
0,expostas
0,expressos
0,extensa
0,externo
0,externa
-1,extrapolam
0,extremamente
0,extrema
0,exóticos
0,facial
1,facilita
1,facilmente
0,falar
-1,falho
0,fale
-1,falso
-1,falsas
-1,faltante
-1,faltando
1,familiar
1,famoso
1,fantástico
1,faraônicos
1,favorece
1,favoritos
1,favoráveis
0,fazer
0,fazê-lo
0,fecham
-1,fedida
-1,feio
0,feitas
0,fermentadas
0,fiquei
1,fiel
0,figado
0,financeiro
-1,finge
0,finissimas
0,fina
0,fiscalizar
0,fitoterápicos
0,flertando
1,flexíveis
1,fofo
1,fofos
1,fornece
1,forte
1,fortemente
-1,forçados
-1,fracos
0,francês
1,frequento
0,frequentes
0,frequentemente
1,fresco
0,fritar
0,frita
0,frontais
-1,fuja
-1,fumando
1,funcional
1,funcionando
1,fundamental
0,fundiu-se
0,furar
1,fáceis
-1,fétida
0,física
0,garrido
0,gastar
0,gastronômicas
0,gel
1,geladinha
1,generoso
1,gentis
1,genuína
0,geral
0,geralmente
0,gera
0,gerenciado
0,gestantes
0,gigantes
0,gigantescas
0,goiano
0,gospel
1,gosto
1,gostoso
0,grande
1,grandemente
1,grandiosamente
0,grano
1,gratificante
