polaridade,palavra
-1,abafa
-1,abafad*
-1,abafada
-1,abafadas
-1,abafado
-1,abafados
-1,abafai
-1,abafais
-1,abafam
-1,abafamos
-1,abafando
-1,abafar
-1,abafara
-1,abafaram
-1,abafaras
-1,abafardes
-1,abafarei
-1,abafareis
-1,abafarem
-1,abafaremos
-1,abafares
-1,abafaria
-1,abafariam
-1,abafarias
-1,abafarmos
-1,abafará
-1,abafarás
-1,abafarão
-1,abafaríamos
-1,abafaríeis
-1,abafas
-1,abafasse
-1,abafassem
-1,abafasses
-1,abafaste
-1,abafastes
-1,abafava
-1,abafavam
-1,abafavas
-1,abafe
-1,abafei
-1,abafeis
-1,abafem
-1,abafemos
-1,abafes
-1,abafo
-1,abafou
-1,abafáramos
-1,abafáreis
-1,abafásseis
-1,abafássemos
-1,abafávamos
-1,abafáveis
-1,abaixa
-1,abaixad*
-1,abaixada
-1,abaixadas
-1,abaixado
-1,abaixados
-1,abaixai
-1,abaixais
-1,abaixam
-1,abaixamos
-1,abaixando
-1,abaixar
-1,abaixara
-1,abaixaram
-1,abaixaras
-1,abaixardes
-1,abaixarei
-1,abaixareis
-1,abaixarem
-1,abaixaremos
-1,abaixares
-1,abaixaria
-1,abaixariam
-1,abaixarias
-1,abaixarmos
-1,abaixará
-1,abaixarás
-1,abaixarão
-1,abaixaríamos
-1,abaixaríeis
-1,abaixas
-1,abaixasse
-1,abaixassem
-1,abaixasses
-1,abaixaste
-1,abaixastes
-1,abaixava
-1,abaixavam
-1,abaixavas
-1,abaixe
-1,abaixei
-1,abaixeis
-1,abaixem
-1,abaixemos
-1,abaixes
-1,abaixo
-1,abaixou
-1,abaixáramos
-1,abaixáreis
-1,abaixásseis
-1,abaixássemos
-1,abaixávamos
-1,abaixáveis
-1,abal*
-1,abala
-1,abalad*
-1,abalada
-1,abaladas
-1,abalado
-1,abalados
-1,abalai
-1,abalais
-1,abalam
-1,abalamos
-1,abalando
-1,abalar
-1,abalara
-1,abalaram
-1,abalaras
-1,abalardes
-1,abalarei
-1,abalareis
-1,abalarem
-1,abalaremos
-1,abalares
-1,abalaria
-1,abalariam
-1,abalarias
-1,abalarmos
-1,abalará
-1,abalarás
-1,abalarão
-1,abalaríamos
-1,abalaríeis
-1,abalas
-1,abalasse
-1,abalassem
-1,abalasses
-1,abalaste
-1,abalastes
-1,abalava
-1,abalavam
-1,abalavas
-1,abale
-1,abalei
-1,abaleis
-1,abalem
-1,abalemos
-1,abales
-1,abalo
-1,abalou
-1,abaláramos
-1,abaláreis
-1,abalásseis
-1,abalássemos
-1,abalávamos
-1,abaláveis
-1,abandon*
-1,abandonad*
-1,abandonadíssim*
-1,abandono
1,abastad*
1,abastadíssim*
-1,abastarda
-1,abastardad*
-1,abastardada
-1,abastardadas
-1,abastardado
-1,abastardados
-1,abastardai
-1,abastardais
-1,abastardam
-1,abastardamos
-1,abastardando
-1,abastardar
-1,abastardara
-1,abastardaram
-1,abastardaras
-1,abastardardes
-1,abastardarei
-1,abastardareis
-1,abastardarem
-1,abastardaremos
-1,abastardares
-1,abastardaria
-1,abastardariam
-1,abastardarias
-1,abastardarmos
-1,abastardará
-1,abastardarás
-1,abastardarão
-1,abastardaríamos
-1,abastardaríeis
-1,abastardas
-1,abastardasse
-1,abastardassem
-1,abastardasses
-1,abastardaste
-1,abastardastes
-1,abastardava
-1,abastardavam
-1,abastardavas
-1,abastarde
-1,abastardei
-1,abastardeis
-1,abastardem
-1,abastardemos
-1,abastardes
-1,abastardo
-1,abastardou
-1,abastardáramos
-1,abastardáreis
-1,abastardásseis
-1,abastardássemos
-1,abastardávamos
-1,abastardáveis
-1,abata
-1,abatais
-1,abatam
-1,abatamos
-1,abatas
-1,abate
-1,abatei
-1,abateis
-1,abatem
-1,abatemos
-1,abatendo
-1,abater
-1,abatera
-1,abateram
-1,abateras
-1,abaterdes
-1,abaterei
-1,abatereis
-1,abaterem
-1,abateremos
-1,abateres
-1,abateria
-1,abateriam
-1,abaterias
-1,abatermos
-1,abaterá
-1,abaterás
-1,abaterão
-1,abateríamos
-1,abateríeis
-1,abates
-1,abatesse
-1,abatessem
-1,abatesses
-1,abateste
-1,abatestes
-1,abateu
-1,abati
-1,abatia
-1,abatiam
-1,abatias
-1,abatid*
-1,abatida
-1,abatidas
-1,abatido
-1,abatidos
-1,abatidíssim*
-1,abatimento
-1,abato
-1,abatêramos
-1,abatêreis
-1,abatêsseis
-1,abatêssemos
-1,abatíamos
-1,abatíeis
1,abenç*
-1,aberraç*
1,aberta
1,aberta*
1,abertas
1,aberto
1,aberto*
1,abertos
-1,abertura
1,abisma
1,abismad*
1,abismada
1,abismadas
1,abismado
1,abismados
1,abismai
1,abismais
1,abismam
1,abismamos
1,abismando
1,abismar
1,abismara
1,abismaram
1,abismaras
1,abismardes
1,abismarei
1,abismareis
1,abismarem
1,abismaremos
1,abismares
1,abismaria
1,abismariam
1,abismarias
1,abismarmos
1,abismará
1,abismarás
1,abismarão
1,abismaríamos
1,abismaríeis
1,abismas
1,abismasse
1,abismassem
1,abismasses
1,abismaste
1,abismastes
1,abismava
1,abismavam
1,abismavas
1,abisme
1,abismei
1,abismeis
1,abismem
1,abismemos
1,abismes
1,abismo
1,abismou
1,abismáramos
1,abismáreis
1,abismásseis
1,abismássemos
1,abismávamos
1,abismáveis
-1,abjet*
-1,abominavelmente
-1,abomináve*
1,abono*
-1,aborre*
-1,aborrec*
-1,aborrece
-1,aborrecei
-1,aborreceis
-1,aborrecem
-1,aborrecemos
-1,aborrecendo
-1,aborrecendo-se
-1,aborrecer
-1,aborrecera
-1,aborreceram
-1,aborreceras
-1,aborrecerdes
-1,aborrecerei
-1,aborrecereis
-1,aborrecerem
-1,aborreceremos
-1,aborreceres
-1,aborreceria
-1,aborreceriam
-1,aborrecerias
-1,aborrecermos
-1,aborrecerá
-1,aborrecerás
-1,aborrecerão
-1,aborreceríamos
-1,aborreceríeis
-1,aborreces
-1,aborrecesse
-1,aborrecessem
-1,aborrecesses
-1,aborreceste
-1,aborrecestes
-1,aborreceu
-1,aborreci
-1,aborreci*
-1,aborrecia
-1,aborreciam
-1,aborrecias
-1,aborrecid*
-1,aborrecida
-1,aborrecidas
-1,aborrecido
-1,aborrecido*
-1,aborrecido-se
-1,aborrecidos
-1,aborrecidíssim*
-1,aborrecimento*
-1,aborrecêramos
-1,aborrecêreis
-1,aborrecêsseis
-1,aborrecêssemos
-1,aborrecíamos
-1,aborrecíeis
-1,aborreç*
-1,aborreça
-1,aborreçais
-1,aborreçam
-1,aborreçamos
-1,aborreças
-1,aborreço
-1,aborto*
1,abra
1,abrace
1,abracei
1,abraceis
1,abracem
1,abracemos
1,abraces
1,abrais
1,abram
1,abramos
1,abrand*
1,abras
1,abraça
1,abraçada
1,abraçada*
1,abraçadas
1,abraçado
1,abraçado*
1,abraçados
1,abraçai
1,abraçais
1,abraçam
1,abraçamos
1,abraçando
1,abraçar
1,abraçara
1,abraçaram
1,abraçaras
1,abraçardes
1,abraçarei
1,abraçareis
1,abraçarem
1,abraçaremos
1,abraçares
1,abraçaria
1,abraçariam
1,abraçarias
1,abraçarmos
1,abraçará
1,abraçarás
1,abraçarão
1,abraçaríamos
1,abraçaríeis
1,abraças
1,abraçasse
1,abraçassem
1,abraçasses
1,abraçaste
1,abraçastes
1,abraçava
1,abraçavam
1,abraçavas
1,abraço
1,abraços
1,abraçou
1,abraçáramos
1,abraçáreis
1,abraçásseis
1,abraçássemos
1,abraçávamos
